La0.55Li0.36TiO3                         | 1.53e-03             | 25 C
La0.55Li0.36TiO3                         | 6.88e-04             | 25 C
La0.61Li0.18TiO3                         | 1.58e-04             | 25 C
La0.58Li0.27TiO3                         | 7.59e-04             | 25 C
La0.56Li0.33TiO3                         | 1.29e-03             | 25 C
La0.54Li0.39TiO3                         | 1.20e-03             | 25 C
La0.52Li0.45TiO3                         | 7.41e-04             | 25 C
La0.61Li0.18TiO3                         | 3.80e-04             | 25 C
La0.58Li0.27TiO3                         | 5.25e-04             | 25 C
La0.56Li0.33TiO3                         | 6.31e-04             | 25 C
La0.54Li0.39TiO3                         | 6.03e-04             | 25 C
La0.52Li0.45TiO3                         | 4.17e-04             | 25 C
La0.56Li0.33TiO3                         | 1.26e-03             | 25 C
La0.56Li0.33TiO3                         | 6.31e-04             | 25 C
La0.56Li0.33TiO3                         | 1.32e-03             | 25 C
La0.56Li0.33TiO3                         | 6.31e-04             | 25 C
La0.56Li0.33TiO3                         | 1.32e-03             | 25 C
La0.56Li0.33TiO3                         | 6.31e-04             | 25 C
