material_name,material_class,measurement_temperature,ionic_conductivity,material_description,processing_method
Li6PS5Cl,Ceramic,25°C,1.1 x 10^-3 S/cm,Argyrodite-type solid electrolyte,N/A (Introduction/Image only)
Li6PS5Cl,Ceramic,100°C,1.0 x 10^-2 S/cm,Argyrodite-type solid electrolyte,N/A (Introduction/Image only)
Li6PS5Cl,Ceramic,-25°C,1.0 x 10^-4 S/cm,Argyrodite-type solid electrolyte,N/A (Introduction/Image only)
LiHf2(PO4)3,Ceramic,298 K,1.0 x 10^-6 S/cm,NASICON-type lithium hafnium phosphate with Li2O additive.,"Sintered at various temperatures (800-1100°C). | Solid-state reaction: Starting materials Li2CO3, HfO2, and (NH4)2HPO4 were mixed and reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder (particle size < 1 µm) was mixed with 3 wt% PVA solution, pressed into pellets at 1 x 10^8 Pa, and sintered for 2h in air at temperatures up to 1593 K."
LiHf2(PO4)3 + 0.1Li2O,Ceramic,298 K,1.0 x 10^-5 S/cm,NASICON-type lithium hafnium phosphate with Li2O additive.,"Sintered at various temperatures (800-1100°C). | Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and added Li2O were mixed and reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was mixed with 3 wt% PVA solution, pressed into pellets at 1 x 10^8 Pa, and sintered for 2h in air (porosity decreased at 1173 K; maximum conductivity for y=0.1 obtained at 1298 K)."
LiHf2(PO4)3 + 0.2Li2O,Ceramic,298 K,1.0 x 10^-4 S/cm,NASICON-type lithium hafnium phosphate with Li2O additive.,"Sintered at various temperatures (800-1100°C). | Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and added Li2O were mixed and reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was mixed with 3 wt% PVA solution, pressed into pellets at 1 x 10^8 Pa, and sintered for 2h in air (porosity decreased at 1173 K; maximum conductivity obtained at ca. 1298 K)."
LiHf2(PO4)3 + 0.3Li2O,Ceramic,298 K,1.2 x 10^-4 S/cm,NASICON-type lithium hafnium phosphate with Li2O additive.,"Sintered at various temperatures (800-1100°C). | Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and added Li2O were mixed and reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was mixed with 3 wt% PVA solution, pressed into pellets at 1 x 10^8 Pa, and sintered for 2h in air (porosity decreased at 1173 K; maximum conductivity obtained at ca. 1298 K)."
LiHf2(PO4)3 + 0.4Li2O,Ceramic,298 K,1.0 x 10^-4 S/cm,NASICON-type lithium hafnium phosphate with Li2O additive.,"Sintered at various temperatures (800-1100°C). | Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and added Li2O were mixed and reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was mixed with 3 wt% PVA solution, pressed into pellets at 1 x 10^8 Pa, and sintered for 2h in air (porosity decreased at 1173 K; maximum conductivity obtained at ca. 1298 K)."
LiHf2(PO4)3 (M3+ substituted),Ceramic,298 K,1.7 × 10⁻⁴ S cm⁻¹,"Ceramic electrolyte based on LiHf2(PO4)3 with partial substitution of Hf4+ site by M3+ ion (M=Cr, Fe, Sc, In, Lu, or Y).","Addition of lithium compound and partial substitution of Hf4+ site by M3+ ion followed by heating above 1173 K. | Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and M2O3 (M=Cr, Fe, Sc, In, Lu, or Y) were mixed and reacted in a platinum crucible at 1173 K for 2h in air. The material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was mixed with 3 wt% PVA, pressed into pellets at 1 x 10^8 Pa, and sintered for 2h in air at temperatures above 1293 K (typically 1393 K for densification)."
LiHf2(PO4)3 + 0.1Li2O,Ceramic,298 K,1.1 × 10⁻⁴ S cm⁻¹,NASICON-type phase,"sintered at 1298 K | Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and added Li2O were mixed and reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was mixed with 3 wt% PVA solution, pressed into pellets at 1 x 10^8 Pa, and sintered for 2h in air (maximum conductivity for y=0.1 obtained at 1298 K)."
