material_name,material_class,measurement_temperature,ionic_conductivity,material_description,processing_method
Li3PO4,Ceramic,100 °C,~ 2x10^-10 S/cm,LISICONs without partial lithium occupancy,Classical Molecular Dynamics (MD) simulations [Inferred]
Li4GeO4,Ceramic,100 °C,~2x10^-9 S/cm,LISICONs without partial lithium occupancy,Classical Molecular Dynamics (MD) simulations [Inferred]
Li6PS5Cl,Ceramic,25°C,1.1 x 10^-3 S/cm,Argyrodite-type solid electrolyte ; Baseline argyrodite solid electrolyte.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li6PS5Cl,Ceramic,100°C,1.0 x 10^-2 S/cm,Argyrodite-type solid electrolyte,Classical Molecular Dynamics (MD) simulations [Inferred]
Li5.5PS4.5Cl1.5,Ceramic,25°C,9.4 x 10^-3 S/cm,Chlorine-rich argyrodite solid electrolyte ; Cl-rich argyrodite solid electrolyte with high ionic conductivity.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li5.5PS4.5Cl1.5,Ceramic,100°C,4.0 x 10^-2 S/cm,Chlorine-rich argyrodite solid electrolyte,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3+xV1-xGexO4,Ceramic,30 °C,Value to be extracted from Figure 4b,Compounds with partial Li occupancy (bulk conductivity) or extrapolated from high-temperature measurements.,Classical Molecular Dynamics (MD) simulations
Li3.2Ge0.2V0.8O4,Ceramic,Arrhenius plot from 1000/T = 0.8 to 1.3 K⁻¹ (~500°C to ~500 K),"Data represents Diffusivity (cm^2/s), not Ionic Conductivity (S/cm)",Diffusivity for Li3.2Ge0.2V0.8O4 (x=0.2),Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.6Ge0.6V0.4O4,Ceramic,Arrhenius plot from 1000/T = 0.8 to 1.3 K⁻¹ (~500°C to ~500 K),"Data represents Diffusivity (cm^2/s), not Ionic Conductivity (S/cm)",Diffusivity for Li3.6Ge0.6V0.4O4 (x=0.6) ; Germanium-vanadium doped lithium oxide ceramic,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.4Ge0.4V0.6O4,Ceramic,Arrhenius plot from 1000/T = 0.8 to 1.3 K⁻¹ (~500°C to ~500 K),"Data represents Diffusivity (cm^2/s), not Ionic Conductivity (S/cm)",Diffusivity for Li3.4Ge0.4V0.6O4 (x=0.4),Classical Molecular Dynamics (MD) simulations [Inferred]
Li3VO4,Ceramic,30 °C,1.3e-13 S cm^-1,Vanadate-based solid electrolyte,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3P0.2V0.8O4,Ceramic,30 °C,1.5e-13 S cm^-1,Phosphate-vanadate solid solution,Classical Molecular Dynamics (MD) simulations [Inferred]
Li4GeO4,Ceramic,30 °C,1.5e-12 S cm^-1,Lithium germanate,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.2Ge0.2V0.8O4,Ceramic,30 °C,1e-6 S cm^-1,Germanate-vanadate solid solution,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.8Ge0.8V0.2O4,Ceramic,30 °C,1e-4 S cm^-1,Germanate-vanadate solid solution,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.6Ge0.6P0.4O4,Ceramic,30 °C,1e-6 S cm^-1,Germanate-phosphate solid solution,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.2Ge0.2P0.8O4,Ceramic,not specified,4-5 orders of magnitude higher than Li3PO4,Aliovalent substitution of P5+ by Ge4+ in Li3PO4 resulting in partial lithium occupancy.,Aliovalent substitution
Li3.2Ge0.2V0.8O4,Ceramic,not specified,4-5 orders of magnitude higher than Li3VO4,Aliovalent substitution of V5+ by Ge4+ in Li3VO4 resulting in partial lithium occupancy.,Aliovalent substitution
Li4GeO4,Ceramic,Arrhenius plot from 1000/T = 0.6 to 1.2 K⁻¹ (~1400°C to ~560°C),"Data represents Diffusivity (cm^2/s), not Ionic Conductivity (S/cm)",Diffusivity for Li4GeO4 (x=1.0),Classical Molecular Dynamics (MD) simulations [Inferred]
Li3P1-xVxO4,Ceramic,30 °C,Value to be extracted from Figure 4b,Compounds with partial Li occupancy (bulk conductivity) or extrapolated from high-temperature measurements.,Classical Molecular Dynamics (MD) simulations
Li3+xP1-xGexO4,Ceramic,30 °C,Value to be extracted from Figure 4b,Compounds with partial Li occupancy (bulk conductivity) or extrapolated from high-temperature measurements.,Classical Molecular Dynamics (MD) simulations
Li3.8Ge0.8V0.2O4,Ceramic,Arrhenius plot from 1000/T = 0.8 to 1.3 K⁻¹ (~500°C to ~500 K),"Data represents Diffusivity (cm^2/s), not Ionic Conductivity (S/cm)",Diffusivity for Li3.8Ge0.8V0.2O4 (x=0.8),Classical Molecular Dynamics (MD) simulations [Inferred]
Li3PO4-Li3VO4-Li4GeO4,Ceramic,room-temperature,~7 order of magnitude increase,Ge-doped Li3PO4 or Li3VO4 with partial lithium occupancy,Doping Li3PO4 or Li3VO4 with Ge
Li3PO4,Ceramic,105 °C,7.7e-10 S cm⁻¹,Solid electrolyte Li3PO4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3PO4,Ceramic,120 °C,2.9e-9 S cm⁻¹,Solid electrolyte Li3PO4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li4GeO4,Ceramic,90 °C,1.4e-9 S cm⁻¹,Solid electrolyte Li4GeO4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li4GeO4,Ceramic,105 °C,4.2e-9 S cm⁻¹,Solid electrolyte Li4GeO4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.2Ge0.2V0.8O4,Ceramic,90 °C,3.7e-5 S cm⁻¹,Solid electrolyte Li3.2Ge0.2V0.8O4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.2Ge0.2V0.8O4,Ceramic,105 °C,1.1e-4 S cm⁻¹,Solid electrolyte Li3.2Ge0.2V0.8O4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.2Ge0.2P0.8O4,Ceramic,-30 °C,9.1e-9 S cm⁻¹,Solid electrolyte Li3.2Ge0.2P0.8O4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.2Ge0.2P0.8O4,Ceramic,0 °C,1.0e-7 S cm⁻¹,Solid electrolyte Li3.2Ge0.2P0.8O4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3.2Ge0.2P0.8O4,Ceramic,30 °C,1.0e-6 S cm⁻¹,Solid electrolyte Li3.2Ge0.2P0.8O4 impedance spectroscopy.,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3P0.4V0.6O4,Ceramic,30 °C,5e-13 S cm^-1,Phosphate-vanadate solid solution,Classical Molecular Dynamics (MD) simulations [Inferred]
Li3P0.6V0.4O4,Ceramic,30 °C,3e-13 S cm^-1,Phosphate-vanadate solid solution,Classical Molecular Dynamics (MD) simulations [Inferred]
