ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
bq9,Li24.0Bi8.0O24.0,2,9.02743,9.7388,9.23917,114.046,89.295,107.538,2.4e-10,10.1016/j.ssi.2015.10.016,Close Match,"1.  **Method Name:** Solid State Reaction (also referred to as Ceramic Synthesis)

2.  **Procedure Summary:**
    The synthesis involved preparing an intimate mixture of bismuth oxide (Bi2O3) and lithium oxide (Li2O) as precursors. A 10 mol% excess of Li2O was used relative to the stoichiometric Bi:Li ratio required for the desired final oxide phase. This mixture was then ball milled for 30 minutes using a Spex Miller, with the stainless steel milling jars being filled and emptied in an argon-filled glove box to maintain an inert atmosphere. The resulting milled powder was pressed into pellets, each with a diameter of 13 mm and a thickness of 3 mm. These pellets were subsequently heated in a quartz crucible under specific temperature, duration, and atmospheric conditions to form the final lithium bismuth oxide compounds.

3.  **Key Conditions:**
    *   **Li24.0Bi8.0O24.0 (Li3BiO3):** Heated at 450 °C for 16 hours under Argon flow.
    *   **Li10.0Bi2.0O10.0 (Li5BiO5):** Heated at 650 °C for 24 hours in air.
    *   **Li8.0Bi8.0O16.0 (LiBiO2):** Heated at 500 °C for 24 hours in air.
    *   **Li12.0Bi4.0O16.0 (Li3BiO4):** Heated at 500 °C for 24 hours in air."
skm,Li10.0Bi2.0O10.0,8,9.97608,4.15207,5.94635,90.0,109.486,90.0,3.9e-09,10.1016/j.ssi.2015.10.016,Match,"1.  **Method Name:** Solid State Reaction (also referred to as Ceramic Synthesis)

2.  **Procedure Summary:**
    The synthesis involved preparing an intimate mixture of bismuth oxide (Bi2O3) and lithium oxide (Li2O) as precursors. A 10 mol% excess of Li2O was used relative to the stoichiometric Bi:Li ratio required for the desired final oxide phase. This mixture was then ball milled for 30 minutes using a Spex Miller, with the stainless steel milling jars being filled and emptied in an argon-filled glove box to maintain an inert atmosphere. The resulting milled powder was pressed into pellets, each with a diameter of 13 mm and a thickness of 3 mm. These pellets were subsequently heated in a quartz crucible under specific temperature, duration, and atmospheric conditions to form the final lithium bismuth oxide compounds.

3.  **Key Conditions:**
    *   **Li24.0Bi8.0O24.0 (Li3BiO3):** Heated at 450 °C for 16 hours under Argon flow.
    *   **Li10.0Bi2.0O10.0 (Li5BiO5):** Heated at 650 °C for 24 hours in air.
    *   **Li8.0Bi8.0O16.0 (LiBiO2):** Heated at 500 °C for 24 hours in air.
    *   **Li12.0Bi4.0O16.0 (Li3BiO4):** Heated at 500 °C for 24 hours in air."
o4u,Li91.2Ge19.2P4.8S96.0,11,13.9668,23.3842,12.3196,90.0,89.967,90.0,1.78e-06,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
yy9,Li86.4Ge14.4P9.6S96.0,11,13.9016,23.454,12.3367,90.0,90.043,90.0,0.000175,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
mvq,Li81.6Ge9.6P14.4S96.0,11,13.769,23.614,12.359,90.0,90.66,90.0,0.000654,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
2yl,Li80.4Ge8.4P15.6S96.0,11,13.393,22.947,18.2009,90.0,92.562,90.0,0.00154,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
5qm,Li79.2Ge7.2P16.8S96.0,11,13.387,22.968,18.2015,90.0,92.594,90.0,0.00174,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
3jh,Li78.0Ge6.0P18.0S96.0,11,13.395,22.979,18.1981,90.0,92.591,90.0,0.0022,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
j3x,Li76.8Ge4.8P19.2S96.0,11,13.0981,24.201,12.2793,90.0,89.887,90.0,0.000555,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
b4c,Li8.0Si2.0S8.0,11,6.8934,7.7675,6.1241,90.0,91.225,90.0,1.59e-08,10.1006/jssc.2002.9701,Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
