DOI,entry_count
10.1016/j.ssi.2012.05.011,3
10.1016/j.jpowsour.2012.01.131,3
10.1039/b301189e,3
10.1016/j.ssi.2015.09.001,3
10.1002/pssa.201001117,3
10.1021/acs.chemmater.7b00886,3
10.1016/0167-2738(94)90310-7,3
10.1021/acs.chemmater.8b02759,3
10.1021/acsami.6b14402,3
10.1016/0167-2738(83)90223-0,3
10.1063/1.2357843,3
10.1016/j.physb.2011.11.006,3
10.1021/ic400577v,2
10.1006/jssc.1995.1140,2
10.1016/j.ssi.2008.10.022,2
10.1016/j.ssi.2008.01.047,2
10.1021/cm980736j,2
10.1021/cm970078n,2
10.1016/0167-2738(81)90021-7,2
10.1016/0025-5408(89)90053-6,2
10.1002/adfm.200400044,2
10.1016/s0167-2738(02)00007-3,2
10.1002/chin.199345017,2
10.1016/s0167-2738(96)00592-9,2
10.1016/s0378-7753(97)02645-1,2
10.2320/matertrans.y-m2016816,2
10.1021/acs.chemmater.6b02516,2
10.1021/acs.chemmater.8b03175,2
10.4028/www.scientific.net/msf.321-324.965,2
10.1002/aenm.201570062|10.1002/aenm.201500096,2
10.1002/adma.201803075,2
10.1021/ja3110895,2
10.1038/nenergy.2016.30,2
10.1023/a:1026135806929,2
10.1007/s11164-013-1348-0,2
10.1016/j.jssc.2005.12.025,2
10.1039/a807007e,2
10.1016/j.mseb.2007.07.009,2
10.1038/srep18053,2
10.1016/0022-4596(87)90135-6,2
10.1016/0025-5408(76)90169-0,2
10.1107/s2052520615022283,2
10.1016/j.jpowsour.2013.03.166,2
10.1007/s10008-012-1780-x,2
10.1016/j.mseb.2004.07.003,2
10.1063/1.3356981,2
10.1016/j.materresbull.2007.10.035,2
10.1021/jacs.5b04444,2
10.1149/1.2096693,2
10.1039/c8ta09170f,1
10.1021/acsomega.8b00377,1
10.1021/cm010528i,1
10.1140/epjst/e2008-00753-4,1
10.1021/acsami.6b03070,1
10.1039/c3ee41655k|10.1016/j.ssi.2007.05.020|10.1016/j.ssi.2006.04.017,1
10.1039/c3ee41728j,1
10.1021/acsenergylett.9b02599,1
10.1107/s0567740877009443,1
10.1039/c3ta13252h,1
10.1039/c3ta15087a,1
10.1039/c3ta15264b,1
10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,1
10.3103/s1062873810050199,1
10.1039/c5ta08545d,1
10.1039/c6ee00633g,1
10.1021/acsami.8b17656,1
10.1021/ja407393y,1
10.1039/C3DT52917G,1
10.1039/c2dt31318a,1
10.1039/c1cp22108f,1
10.1021/ic201183e,1
10.1149/1.2133238,1
10.1021/ic030208w,1
10.1021/jp973296c,1
10.1021/cm703677q,1
10.1149/2.012206eel,1
10.1021/cm5037524,1
10.1021/cm400541n,1
10.1021/cm3011315,1
10.1021/cm300792t,1
10.1021/acsaem.0c00147,1
10.1021/cm1006857,1
10.1149/2.0501412jes,1
10.1021/cm060992t,1
10.1021/cm034802f,1
10.1021/cm030422i,1
10.1021/cm021717j,1
10.1038/nmat3066,1
10.1039/c0ee00052c,1
10.1021/ja302255d,1
10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,1
10.1021/acs.inorgchem.8b01785,1
10.1016/j.jssc.2008.01.023,1
10.1016/0167-2738(85)90106-7,1
10.1016/0167-2738(87)90119-6,1
10.1016/0167-2738(88)90291-3,1
10.1016/0167-2738(89)90438-4,1
10.1016/0167-2738(94)90309-3,1
10.1016/0167-2738(95)00240-5,1
10.1016/0925-8388(93)90192-p,1
10.1016/S0955-2219(99)00055-2,1
10.1016/j.elecom.2011.08.014,1
10.1016/j.jallcom.2013.04.195,1
10.1016/j.jallcom.2015.01.082,1
10.1016/j.jpowsour.2010.11.089,1
10.1016/j.jpowsour.2012.02.100,1
10.1016/j.jpowsour.2012.11.098,1
10.1016/j.jpowsour.2013.03.049,1
10.1016/j.jpowsour.2013.03.175,1
10.1016/j.jpowsour.2014.07.159,1
10.1016/0167-2738(83)90045-0,1
10.1016/0167-2738(81)90178-8,1
10.1016/0025-5408(86)90194-7,1
10.1002/zaac.200900056,1
10.1002/ange.201604554,1
10.1002/anie.200701144,1
10.1002/anie.201604554,1
10.1002/anie.201909805,1
10.1002/chem.201502052,1
10.1002/chin.198639014|10.1149/1.2108704,1
10.1002/zaac.200500231,1
10.1002/zaac.201000121,1
10.1016/0025-5408(81)90142-2,1
10.1002/zaac.201200277,1
10.1006/jssc.2000.9009,1
10.1006/jssc.2002.9596,1
10.1007/bf00549810,1
10.1007/s11581-010-0486-2,1
10.1007/s11581-014-1261-6,1
10.1016/0022-4596(88)90301-5,1
10.1016/j.jssc.2006.06.003,1
10.1016/j.jssc.2009.05.020,1
10.1021/acs.inorgchem.7b00751,1
10.1016/j.jssc.2009.10.030,1
10.1016/j.ssi.2015.04.011,1
10.1016/j.ssi.2015.08.011,1
10.1016/j.ssi.2015.10.015,1
10.1016/j.ssi.2015.11.027,1
10.1016/j.ssi.2017.03.030,1
10.1016/j.ssi.2019.01.017,1
10.1016/s0167-2738(00)00277-0,1
10.1016/s0167-2738(00)00491-4,1
10.1016/s0167-2738(00)00493-8,1
10.1021/acs.chemmater.1c00157,1
10.1021/acs.chemmater.5b00940,1
10.1021/acs.chemmater.5b02429,1
10.1021/acs.chemmater.6b02163,1
10.1021/acs.chemmater.6b04175,1
10.1021/acs.chemmater.7b00013,1
10.1021/acs.chemmater.9b03230,1
10.1021/acs.inorgchem.6b02274,1
10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010,1
10.1016/j.ssi.2014.04.015,1
10.1016/j.ssi.2013.04.002,1
10.1016/j.materresbull.2007.04.002,1
10.1016/j.jssc.2013.12.015,1
10.1016/j.jssc.2014.11.024,1
10.1016/j.jssc.2016.08.006,1
10.1016/j.jssc.2016.12.001,1
10.1016/j.jssc.2017.09.018,1
10.1016/j.jssc.2018.05.008,1
10.1016/j.matchemphys.2012.03.054,1
10.1016/j.materresbull.2007.08.007,1
10.1016/j.ssi.2012.12.013,1
10.1016/j.materresbull.2012.04.032,1
10.1016/j.solidstatesciences.2004.05.006,1
10.1016/j.ssi.2008.01.002,1
10.1016/j.ssi.2009.07.002,1
10.1016/j.ssi.2009.11.015,1
10.1016/j.ssi.2010.12.010,1
10.1016/j.ssi.2012.06.008,1
10.4028/www.scientific.net/msf.76.107,1
