DOI,entry_count,Title
10.1149/1.2086597,30,Ionic Conductivity of Solid Electrolytes Based on Lithium Titanium Phosphate
10.1016/0167-2738(93)90387-i,15,Electrical properties and crystal structure of solid electrolyte based on lithium hafnium phosphate LiHf2(PO4)3
10.1021/acs.chemmater.8b01504,15,Lithium Conductivity and Meyer-Neldel Rule in Li<sub>3</sub>PO<sub>4</sub>–Li<sub>3</sub>VO<sub>4</sub>–Li<sub>4</sub>GeO<sub>4</sub> Lithium Superionic Conductors
10.1039/c7ta08581h,13,Effect of Si substitution on the structural and transport properties of superionic Li-argyrodites
10.1016/j.ssi.2014.07.018,13,"A systematic study of Nasicon-type Li1+xMxTi2−x(PO4)3 (M: Cr, Al, Fe) by neutron diffraction and impedance spectroscopy"
10.1016/s0167-2738(98)00070-8,11,Lithium ion conductivity of polycrystalline perovskite La0.67âxLi3xTiO3 with ordered and disordered arrangements of the A-site ions
10.1021/jacs.8b10282,11,Inducing High Ionic Conductivity in the Lithium Superionic Argyrodites Li<sub>6+<i>x</i></sub>P<sub>1–<i>x</i></sub>Ge<sub><i>x</i></sub>S<sub>5</sub>I for All-Solid-State Batteries
10.1021/acs.inorgchem.8b02443,11,Competing Structural Influences in the Li Superionic Conducting Argyrodites Li<sub>6</sub>PS<sub>5–<i>x</i></sub>Se<i><sub><i>x</i></sub></i>Br (0 ≤ <i>x</i> ≤ 1) upon Se Substitution
10.1021/acs.chemmater.0c04150,11,Two-Dimensional Substitution: Toward a Better Understanding of the Structure–Transport Correlations in the Li-Superionic Thio-LISICONs
10.1039/c4fd00143e,10,"Synthesis, structure, and ionic conductivity of solid solution, Li<sub>10+δ</sub>M<sub>1+δ</sub>P<sub>2−δ</sub>S<sub>12</sub> (M = Si, Sn)"
10.1149/2.024205esl,9,High Ionic Conductivity Lithium Garnet Oxides of Li7−xLa3Zr2−xTaxO12 Compositions
10.1021/jacs.7b06327,9,"Influence of Lattice Polarizability on the Ionic Conductivity in the Lithium Superionic Argyrodites Li<sub>6</sub>PS<sub>5</sub>X (X = Cl, Br, I)"
10.1006/jssc.2002.9701,9,Synthesis of New Lithium Ionic Conductor Thio-LISICON—Lithium Silicon Sulfides System
10.1007/s11581-006-0011-9,8,"Al,F-doped new perovskite lithium fast ion conductor Li3x
                     La2/3−x□1/3−2x
                     Ti1−y 
                     Al
                y
              O3−y
                     F
                y
               (x=0.11)"
10.1016/s0167-2738(96)00565-6,8,Ionic conductivity of Li+ ion conductors Li2M3+M4+P3O12
10.1016/0167-2738(86)90179-7,8,"Lithium ion conductors in the system AB(IV)2(PO4)3 (B = Ti, Zr and Hf)"
10.1021/acsami.8b00842,8,Correlating Transport and Structural Properties in Li<sub>1+<i>x</i></sub>Al<sub><i>x</i></sub>Ge<sub>2–<i>x</i></sub>(PO<sub>4</sub>)<sub>3</sub> (LAGP) Prepared from Aqueous Solution
10.1007/s11581-007-0097-8,8,Lithium ion conductivity of Li5+x Ba x La3−x Ta2O12 (x = 0–2) with garnet-related structure in dependence of the barium content
10.1149/1.1379028,7,Lithium Ionic Conductor Thio-LISICON: The Li[sub 2]S-GeS[sub 2]-P[sub 2]S[sub 5] System
10.1134/s002016851103006x,7,Effect of isovalent substitution on the structure and ionic conductivity of Li0.5 − y Na y La0.5□Nb2O6
10.1039/c2jm31413d,7,Optimizing Li+ conductivity in a garnet framework
10.1021/acs.inorgchem.7b00816,6,"Structure, Ionic Conductivity, and Dielectric Properties of Li-Rich Garnet-type Li<sub>5+2<i>x</i></sub>La<sub>3</sub>Ta<sub>2–<i>x</i></sub>Sm<sub><i>x</i></sub>O<sub>12</sub> (0 ≤ <i>x</i> ≤ 0.55) and Their Chemical Stability"
10.1016/j.jpowsour.2011.05.031,6,Effect of Y substitution for Nb in Li5La3Nb2O12 on Li ion conductivity of garnet-type solid electrolytes
10.1016/s0955-2219(99)00055-2,6,Comparative study of lithium ion conductors in the system Li1+xAlxA2−xIV (PO4)3 with AIV=Ti or Ge and 0≤x≤0·7 for use as Li+ sensitive membranes
10.1021/jp304737x,6,"Enhancing Li Ion Conductivity of Garnet-Type Li<sub>5</sub>La<sub>3</sub>Nb<sub>2</sub>O<sub>12</sub> by Y- and Li-Codoping: Synthesis, Structure, Chemical Stability, and Transport Properties"
10.2497/jjspm.65.26,6,"Synthesis and Lithium-Ion Conductivity of LiSr&lt;i&gt;B&lt;/i&gt;&lt;sub&gt;2&lt;/sub&gt;O&lt;sub&gt;6&lt;/sub&gt;F (&lt;i&gt;B&lt;/i&gt; = Nb&lt;sup&gt;5+&lt;/sup&gt;, Ta&lt;sup&gt;5+&lt;/sup&gt;) with a Pyrochlore Structure"
10.1016/j.ssi.2017.01.014,6,A facile strategy to improve the electrochemical stability of a lithium ion conducting Li10GeP2S12 solid electrolyte
