DOI,entry_count,Title
10.1149/1.2086597,30,ionic_conductivity_of_solid_electrolytes_based_on_lithium_titanium_phosphate
10.1016/0167-2738(93)90387-i,15,electrical_properties_and_crystal_structure_of_solid_electrolyte_based_on_lithium_hafnium_phosphate_lihf2_po4_3
10.1021/acs.chemmater.8b01504,15,lithium_conductivity_and_meyer-neldel_rule_in_li_3_po_4_li_3_vo_4_li_4_geo_4_lithium_superionic_conductors
10.1039/c7ta08581h,13,effect_of_si_substitution_on_the_structural_and_transport_properties_of_superionic_li-argyrodites
10.1016/j.ssi.2014.07.018,13,a_systematic_study_of_nasicon-type_li1_xmxti2_x_po4_3_m_cr_al_fe_by_neutron_diffraction_and_impedance_spectroscopy
10.1016/s0167-2738(98)00070-8,11,lithium_ion_conductivity_of_polycrystalline_perovskite_la0_67a_xli3xtio3_with_ordered_and_disordered_arrangements_of_the_a-site_ions
10.1021/jacs.8b10282,11,inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries
10.1021/acs.inorgchem.8b02443,11,competing_structural_influences_in_the_li_superionic_conducting_argyrodites_li_sub_6_sub_ps_sub_5_i_x_i_sub_se_i_sub_i_x_i_sub_i_br_0_i_x_i_1_upon_se_substitution
10.1021/acs.chemmater.0c04150,11,two-dimensional_substitution_toward_a_better_understanding_of_the_structure_transport_correlations_in_the_li-superionic_thio-lisicons
10.1039/c4fd00143e,10,synthesis_structure_and_ionic_conductivity_of_solid_solution_li_10_m_1_p_2_s_12_m_si_sn
10.1149/2.024205esl,9,high_ionic_conductivity_lithium_garnet_oxides_of_li7_xla3zr2_xtaxo12_compositions
10.1021/jacs.7b06327,9,influence_of_lattice_polarizability_on_the_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_ps_5_x_x_cl_br_i
10.1006/jssc.2002.9701,9,synthesis_of_new_lithium_ionic_conductor_thio-lisicon_lithium_silicon_sulfides_system
10.1007/s11581-006-0011-9,8,al_f-doped_new_perovskite_lithium_fast_ion_conductor_li3x_la2_3_x_1_3_2x_ti1_y_al_y_o3_y_f_y_x_0_11
10.1016/s0167-2738(96)00565-6,8,ionic_conductivity_of_li_ion_conductors_li2m3_m4_p3o12
10.1016/0167-2738(86)90179-7,8,lithium_ion_conductors_in_the_system_ab_iv_2_po4_3_b_ti_zr_and_hf
10.1021/acsami.8b00842,8,correlating_transport_and_structural_properties_in_li_1_i_x_i_al_i_x_i_ge_2_i_x_i_po_4_3_lagp_prepared_from_aqueous_solution
10.1007/s11581-007-0097-8,8,lithium_ion_conductivity_of_li5_x_ba_x_la3_x_ta2o12_x_0_2_with_garnet-related_structure_in_dependence_of_the_barium_content
10.1149/1.1379028,7,lithium_ionic_conductor_thio-lisicon_the_li_2_s-ges_2_-p_2_s_5_system
10.1134/s002016851103006x,7,effect_of_isovalent_substitution_on_the_structure_and_ionic_conductivity_of_li0_5_y_na_y_la0_5_nb2o6
10.1039/c2jm31413d,7,optimizing_li_conductivity_in_a_garnet_framework
10.1021/acs.inorgchem.7b00816,6,structure_ionic_conductivity_and_dielectric_properties_of_li-rich_garnet-type_li_5_2_i_x_i_la_3_ta_2_i_x_i_sm_i_x_i_o_12_0_i_x_i_0_55_and_their_chemical_stability
10.1016/j.jpowsour.2011.05.031,6,effect_of_y_substitution_for_nb_in_li5la3nb2o12_on_li_ion_conductivity_of_garnet-type_solid_electrolytes
10.1016/s0955-2219(99)00055-2,6,comparative_study_of_lithium_ion_conductors_in_the_system_li1_xalxa2_xiv_po4_3_with_aiv_ti_or_ge_and_0_x_0_7_for_use_as_li_sensitive_membranes
10.1021/jp304737x,6,enhancing_li_ion_conductivity_of_garnet-type_li_5_la_3_nb_2_o_12_by_y-_and_li-codoping_synthesis_structure_chemical_stability_and_transport_properties
10.2497/jjspm.65.26,6,synthesis_and_lithium-ion_conductivity_of_lisr_lt_i_gt_b_lt_i_gt_lt_gt_2_lt_gt_o_lt_gt_6_lt_gt_f_lt_i_gt_b_lt_i_gt_nb_lt_gt_5_lt_gt_ta_lt_gt_5_lt_gt_with_a_pyrochlore_structure
10.1016/j.ssi.2017.01.014,6,a_facile_strategy_to_improve_the_electrochemical_stability_of_a_lithium_ion_conducting_li10gep2s12_solid_electrolyte
10.1021/cm020609u,6,new_la_2_3_-_i_x_i_sr_i_x_i_li_i_x_i_tio_3_solid_solution_structure_microstructure_and_li_conductivity
10.1016/j.ssi.2010.06.003,6,ionic_conductivity_of_lithium_in_spinel-type_li4_3ti5_3o4_limg1_2ti3_2o4_solid-solution_system
10.1021/acs.inorgchem.5b01895,5,synthesis_crystal_chemistry_and_electrochemical_properties_of_li_7_2_i_x_i_la_3_zr_2_i_x_i_mo_i_x_i_o_12_i_x_i_0_1_0_4_stabilization_of_the_cubic_garnet_polymorph_via_substitution_of_zr_4_by_mo_6
