ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
ssv,Li6.0P0.4V1.6O8.0,31,6.282,5.4021,4.9289,90.0,90.0,90.0,1.31e-13,10.1021/acs.chemmater.8b01504,No Match
h6c,Li6.0V2.0O8.0,31,6.3278,5.4448,4.9467,90.0,90.0,90.0,9.2e-14,10.1021/acs.chemmater.8b01504,Close Match
e6e,Li12.8Ge0.8P3.2O16.0,62,10.5562,6.1319,4.9769,90.0,90.0,90.0,1.14e-06,10.1021/acs.chemmater.8b01504,No Match
ylh,Li12.8Ge0.8V3.2O16.0,62,10.8685,6.2984,5.1017,90.0,90.0,90.0,1.9e-05,10.1021/acs.chemmater.8b01504,No Match
eij,Li13.6Ge1.6P2.4O16.0,62,10.6305,6.1639,5.0266,90.0,90.0,90.0,4.5e-06,10.1021/acs.chemmater.8b01504,No Match
ldd,Li13.6Ge1.6V2.4O16.0,62,10.8697,6.2784,5.1181,90.0,90.0,90.0,8.89e-07,10.1021/acs.chemmater.8b01504,No Match
efb,Li14.4Ge2.4P1.6O16.0,62,10.7284,6.1866,5.0882,90.0,90.0,90.0,1.1e-05,10.1021/acs.chemmater.8b01504,No Match
lcm,Li14.4Ge2.4V1.6O16.0,62,10.8786,6.26,5.1371,90.0,90.0,90.0,3.19e-05,10.1021/acs.chemmater.8b01504,No Match
mgs,Li15.2Ge3.2P0.8O16.0,62,10.8096,6.1767,5.1421,90.0,90.0,90.0,1.03e-06,10.1021/acs.chemmater.8b01504,No Match
31s,Li15.2Ge3.2V0.8O16.0,62,10.8891,6.2315,5.1518,90.0,90.0,90.0,2.71e-06,10.1021/acs.chemmater.8b01504,No Match
dku,Li12.0P1.6V2.4O16.0,62,10.7651,6.2647,4.9262,90.0,90.0,90.0,3.55e-13,10.1021/acs.chemmater.8b01504,No Match
ndx,Li12.0P2.4V1.6O16.0,62,10.6467,6.2052,4.9763,90.0,90.0,90.0,3.2e-13,10.1021/acs.chemmater.8b01504,No Match
m0j,Li12.0P3.2V0.8O16.0,62,10.554,6.1486,4.9492,90.0,90.0,90.0,2.05e-13,10.1021/acs.chemmater.8b01504,No Match
9lo,Li12.0P4.0O16.0,62,10.4772,6.1179,4.9297,90.0,90.0,90.0,1.75e-13,10.1021/acs.chemmater.8b01504,Close Match
dth,Li16.0Ge4.0O16.0,63,7.7661,7.3645,6.0555,90.0,90.0,90.0,1.3e-12,10.1021/acs.chemmater.8b01504,Close Match
qea,Li6.0Ti12.0P18.0O72.0,167,8.512,8.512,20.858,90.0,90.0,120.0,2e-06,10.1149/1.2086597,No Match
mdj,Li7.2Ti12.0Si1.2P16.8O72.0,167,8.518,8.518,20.848,90.0,90.0,120.0,8.6e-05,10.1149/1.2086597,No Match
t1l,Li7.8Ti12.0Si1.8P16.2O72.0,167,8.52,8.52,20.862,90.0,90.0,120.0,0.00032,10.1149/1.2086597,No Match
my9,Li7.2Al1.2Ti10.8P18.0O72.0,167,8.5042,8.5042,20.8252,90.0,90.0,120.0,0.000595,10.1149/1.2086597,Close Match
9s4,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.5004,8.5004,20.8156,90.0,90.0,120.0,0.000722,10.1149/1.2086597,Close Match
iqt,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.4955,8.4955,20.7992,90.0,90.0,120.0,0.000388,10.1149/1.2086597,Close Match
xa0,Li9.0Al3.0Ti9.0P18.0O72.0,167,8.4935,8.4935,20.7994,90.0,90.0,120.0,0.000248,10.1149/1.2086597,Close Match
f4x,Li7.2Cr1.2Ti10.8P18.0O72.0,167,8.5189,8.5189,20.8643,90.0,90.0,120.0,1.82e-05,10.1149/1.2086597,No Match
txm,Li7.8Cr1.8Ti10.2P18.0O72.0,167,8.5203,8.5203,20.8702,90.0,90.0,120.0,3.51e-05,10.1149/1.2086597,No Match
v1t,Li8.4Cr2.4Ti9.6P18.0O72.0,167,8.522,8.522,20.88,90.0,90.0,120.0,0.000149,10.1149/1.2086597,No Match
d6b,Li9.0Cr3.0Ti9.0P18.0O72.0,167,8.5218,8.5218,20.8829,90.0,90.0,120.0,0.000386,10.1149/1.2086597,No Match
x9a,Li7.2Ga1.2Ti10.8P18.0O72.0,167,8.5156,8.5156,20.8451,90.0,90.0,120.0,0.000162,10.1149/1.2086597,No Match
3ta,Li7.8Ga1.8Ti10.2P18.0O72.0,167,8.5175,8.5175,20.8541,90.0,90.0,120.0,0.000261,10.1149/1.2086597,No Match
gjy,Li8.4Ga2.4Ti9.6P18.0O72.0,167,8.5136,8.5136,20.8588,90.0,90.0,120.0,0.000128,10.1149/1.2086597,No Match
lz8,Li9.0Ga3.0Ti9.0P18.0O72.0,167,8.5159,8.5159,20.8419,90.0,90.0,120.0,0.000122,10.1149/1.2086597,No Match
