paper,doi,gt_composition,ext_composition_canon,ext_composition_raw,gt_conductivity,ext_conductivity,log_gt,log_ext,error,abs_error,ext_source,ext_figure,ext_raw_temp,ext_norm_temp,ext_raw_cond_unit,ext_raw_cond_value
a_systematic_study_of_nasicon-type_li1_xmxti2_x_po4_3_m_cr_al_fe_by_neutron_diffraction_and_impedance_spectroscopy,10.1016/j.ssi.2014.07.018,Li6.3Al0.3Ti11.7P18.0O72.0,Li1.3Al0.3Ti1.7P3O12,"Li1.3Al0.3Ti1.7(PO4)3 (Bulk conductivity, )",0.0011,0.0062,-2.958607314841775,-2.207608310501746,0.750999004340029,0.750999004340029,text,unknown,25,25.0,S cm-1,6.2e-3
a_systematic_study_of_nasicon-type_li1_xmxti2_x_po4_3_m_cr_al_fe_by_neutron_diffraction_and_impedance_spectroscopy,10.1016/j.ssi.2014.07.018,Li6.6Al0.6Ti11.4P18.0O72.0,Li1.3Al0.3Ti1.7P3O12,"Li1.3Al0.3Ti1.7(PO4)3 (Grain Boundary conductivity, gb)",0.00067,7.3e-05,-3.1739251972991736,-4.136677139879544,-0.9627519425803706,0.9627519425803706,text,unknown,25,25.0,S cm-1,7.3e-5
ionic_conductivity_of_solid_electrolytes_based_on_lithium_titanium_phosphate,10.1149/1.2086597,Li7.2Cr1.2Ti10.8P18.0O72.0,,LiTi_2(PO_4)_3 + 0.4Li_2O,1.82e-05,0.00013,-4.739928612014925,-3.886056647693163,0.8538719643217618,0.8538719643217618,table,unknown,298,24.85,S cm-1,1.3 	imes 10^{-4}
ionic_conductivity_of_solid_electrolytes_based_on_lithium_titanium_phosphate,10.1149/1.2086597,Li7.8Cr1.8Ti10.2P18.0O72.0,,LiTi_2(PO_4)_3 + 0.1Li_4P_2O_7,3.51e-05,0.00016,-4.454692883534176,-3.795880017344075,0.6588128661901012,0.6588128661901012,table,unknown,298,24.85,S cm-1,1.6 	imes 10^{-4}
inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,10.1021/jacs.8b10282,Li24.6P3.4Ge0.6S20.0I4.0,Li6.80P0.20Ge0.80S5I,x = 0.25 in Li6+xP1-xGexS5I,3.93e-05,0.0039,-4.405607449624573,-2.408935392973501,1.996672056651072,1.996672056651072,text,unknown,298,24.85,mS cm-1,3.9
inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,10.1021/jacs.8b10282,Li25.0P3.0Ge1.0S20.0I4.0,,Li6+xP1-xGexS5I (cold-pressed state),0.00015,0.0054,-3.8239087409443187,-2.2676062401770314,1.5563025007672873,1.5563025007672873,text,unknown,25,25.0,mS cm-1,5.4
inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,10.1021/jacs.8b10282,Li25.2P2.8Ge1.2S20.0I4.0,,"Li6+xP1-xGexS5I (cold-pressed, maximum conductivity)",0.00065,0.0054,-3.1870866433571443,-2.2676062401770314,0.9194804031801129,0.9194804031801129,text,unknown,25,25.0,mS cm-1,5.4
inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,10.1021/jacs.8b10282,Li25.6P2.4Ge1.6S20.0I4.0,Li6.6P0.4Ge0.6S5I,Li6.6P0.4Ge0.6S5I,0.0015,0.0054,-2.8239087409443187,-2.2676062401770314,0.5563025007672873,0.5563025007672873,text,unknown,298,24.85,mS cm-1,5.4
inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,10.1021/jacs.8b10282,Li26.8P1.2Ge2.8S20.0I4.0,,Li6+xP1-xGexS5I (sintered state),0.00554,0.0184,-2.25649023527157,-1.7351821769904636,0.5213080582811065,0.5213080582811065,text,unknown,25,25.0,mS cm-1,18.4
inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,10.1021/jacs.8b10282,Li27.2P0.8Ge3.2S20.0I4.0,,"Li6+xP1-xGexS5I (sintered, maximum conductivity)",0.00258,0.0184,-2.58838029403677,-1.7351821769904636,0.8531981170463063,0.8531981170463063,text,unknown,25,25.0,mS cm-1,18.4
