config,paper,matched_points,accurate_points,mae,rmse,max_error
Text Only (Flash),a_systematic_study_of_nasicon-type_li1_xmxti2_x_po4_3_m_cr_al_fe_by_neutron_diffraction_and_impedance_spectroscopy,3,1,0.5712503156401332,0.7049564543199323,0.9627519425803706
Text Only (Flash),ionic_conductivity_of_solid_electrolytes_based_on_lithium_titanium_phosphate,2,2,0.038415011781354425,0.050103579784238225,0.07058107428570715
Text Only (Flash),inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,2,0,1.504103483566984,1.5050089789350143,1.5563025007672873
Text Only (Flash),effect_of_si_substitution_on_the_structural_and_transport_properties_of_superionic_li-argyrodites,1,1,0.43671672580550336,0.43671672580550336,0.43671672580550336
Vision Only (Flash),inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,1,0,1.5291054507478745,1.5291054507478745,1.5291054507478745
Vision Only (Flash),lithium_conductivity_and_meyer-neldel_rule_in_li_3_po_4_li_3_vo_4_li_4_geo_4_lithium_superionic_conductors,5,2,0.5116873179815921,0.5985775200386731,0.9488474775526186
Vision Only (Flash),effect_of_si_substitution_on_the_structural_and_transport_properties_of_superionic_li-argyrodites,10,10,0.13809660910724805,0.17757174076459056,0.31292921896368897
"Combined (Table, Text, Vision)",effect_of_si_substitution_on_the_structural_and_transport_properties_of_superionic_li-argyrodites,2,2,0.446014351751413,0.4461112504930393,0.4553119776973227
"Combined (Table, Text, Vision)",a_systematic_study_of_nasicon-type_li1_xmxti2_x_po4_3_m_cr_al_fe_by_neutron_diffraction_and_impedance_spectroscopy,2,0,0.8568754734601998,0.863391801982736,0.9627519425803706
"Combined (Table, Text, Vision)",ionic_conductivity_of_solid_electrolytes_based_on_lithium_titanium_phosphate,10,8,0.19507536712354656,0.35520484945206,0.8538719643217618
"Combined (Table, Text, Vision)",inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,9,3,0.8324341798304631,1.0011820357574652,1.996672056651072
