Abbreviation,Full Name,Material Type,Compositions,Processing Methods,Source Count,Source Node IDs,Source Sections
$^6$Li,$^6$Li metal,other,,,1,0082,EXPERIMENTAL SECTION
$^7$Li,$^7$Li metal,other,,,1,0082,EXPERIMENTAL SECTION
acetonitrile,,solvent,,solution casting,2,0071; 0072,EXPERIMENTAL SECTION; EXPERIMENTAL SECTION
Al,,other,,,1,0361,REFERENCES
Al$_2$O$_3$,,filler,,,3,0361; 0362; 0363,REFERENCES; REFERENCES; REFERENCES
Al(NO3)3·9H2O,Aluminum nitrate nonahydrate,other,,,1,0060,EXPERIMENTAL SECTION
Al2O3,Alumina,filler,10 wt %,,3,0022; 0023; 0024,INTRODUCTION; INTRODUCTION; INTRODUCTION
c-LLZO,ceramic LLZO,ceramic,,,1,0159,RESULTS AND DISCUSSION
citric acid,Citric acid,other,,,1,0060,EXPERIMENTAL SECTION
Clay,,filler,,,2,0361; 0362,REFERENCES; REFERENCES
Composite,,composite,,,1,0361,REFERENCES
decomposed LLZO,Li2CO3,ceramic,,ball-milling,1,0113,RESULTS AND DISCUSSION
Double-Network,,polymer,,,1,0361,REFERENCES
Garnets,,ceramic,,,1,0376,REFERENCES
Ge,,other,,,1,0361,REFERENCES
IL,Ionic Liquid,other,,,2,0375; 0376,REFERENCES; REFERENCES
La(NO3)3·6H2O,Lanthanum nitrate hexahydrate,other,,,1,0060,EXPERIMENTAL SECTION
LAGP,Li1+xAlxGe2-x(PO4)3,ceramic,,,3,0010; 0022; 0363,INTRODUCTION; INTRODUCTION; REFERENCES
LAGP-PEO,Lithium aluminum germanium phosphate-poly(ethylene oxide),composite,80 wt % LAGP,,2,0023; 0024,INTRODUCTION; INTRODUCTION
LATP,Li$_{10}$GeP$_2$S$_{12}$,ceramic,,,1,0363,REFERENCES
Li,Lithium metal,other,,,2,0082; 0361,EXPERIMENTAL SECTION; REFERENCES
"Li
2
CO
3",lithium carbonate,other,,,1,0138,RESULTS AND DISCUSSION
Li$_7$La$_3$Zr$_2$O$_{12}$,Li$_7$La$_3$Zr$_2$O$_{12}$,ceramic,,,1,0361,REFERENCES
Li$_{1+x}$Al$_x$Ge$_{2-x}$(PO$_4$)$_3$,,ceramic,,,2,0361; 0362,REFERENCES; REFERENCES
Li$_{10}$Ge$_{1}$P$_{2}$S$_{12}$,,ceramic,,,1,0361,REFERENCES
Li$_{10}$GeP$_2$S$_{12}$,,ceramic,,,1,0362,REFERENCES
Li2CO3,Lithium carbonate,other,,,1,0137,RESULTS AND DISCUSSION
LIBs,Li-ion batteries,other,,,1,0003,INTRODUCTION
LiCl,Lithium chloride,salt,,,1,0093,EXPERIMENTAL SECTION
LiClO$_4$,,salt,,,3,0361; 0362; 0363,REFERENCES; REFERENCES; REFERENCES
LiClO4,lithium perchlorate,salt,,,5,0194; 0203; 0374; 0375; 0376,RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; REFERENCES; REFERENCES; REFERENCES
LiOH,Lithium hydroxide,salt,excess 20 wt %,,1,0060,EXPERIMENTAL SECTION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,43,0022; 0035; 0043; 0070; 0071; 0072; 0113; 0114; 0115; 0124; 0133; 0137; 0138; 0149; 0159; 0169; 0170; 0171; 0181; 0182; 0194; 0195; 0203; 0214; 0225; 0226; 0227; 0236; 0249; 0250; 0251; 0262; 0271; 0272; 0273; 0283; 0284; 0295; 0361; 0363; 0374; 0375; 0376,INTRODUCTION; INTRODUCTION; INTRODUCTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; REFERENCES; REFERENCES; REFERENCES; REFERENCES; REFERENCES
LLTO,Li3xLa2/3-xTiO3,ceramic,,,5,0010; 0022; 0361; 0362; 0363,INTRODUCTION; INTRODUCTION; REFERENCES; REFERENCES; REFERENCES
LLTO-PAN,Lithium lanthanum titanate-polyacrylonitrile,composite,15 wt % LLTO,,2,0023; 0024,INTRODUCTION; INTRODUCTION
