Abbreviation,Full Name,Material Type,Composition,Processing Method,Source Node ID,Source Node Title,Source Node Type,Source Section
$^6$Li,$^6$Li metal,other,,,0082,Electrochemical Measurements,semantic_unit,EXPERIMENTAL SECTION
$^7$Li,$^7$Li metal,other,,,0082,Electrochemical Measurements,semantic_unit,EXPERIMENTAL SECTION
acetonitrile,,solvent,,solution casting,0071,Preparation of Composite Films,semantic_unit,EXPERIMENTAL SECTION
acetonitrile,,solvent,,solution casting,0072,Preparation of Composite Films,semantic_unit,EXPERIMENTAL SECTION
Al,,other,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
Al$_2$O$_3$,,filler,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
Al$_2$O$_3$,,filler,,,0362,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
Al$_2$O$_3$,,filler,,,0363,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
Al(NO3)3·9H2O,Aluminum nitrate nonahydrate,other,,,0060,Synthesis of Cubic-Li7La3Zr2O12 (LLZO),semantic_unit,EXPERIMENTAL SECTION
Al2O3,Alumina,filler,10 wt %,,0022,Research Gap: Limitations of Composite Electrolytes and Need for Mechanistic Understanding,semantic_unit,INTRODUCTION
Al2O3,Alumina,filler,10 wt %,,0023,Background on Composite Electrolytes,semantic_unit,INTRODUCTION
Al2O3,Alumina,filler,10 wt %,,0024,Background on Composite Electrolytes,semantic_unit,INTRODUCTION
c-LLZO,ceramic LLZO,ceramic,,,0159,Li-ion Mobility Analysis via T1 Relaxation Times,semantic_unit,RESULTS AND DISCUSSION
citric acid,Citric acid,other,,,0060,Synthesis of Cubic-Li7La3Zr2O12 (LLZO),semantic_unit,EXPERIMENTAL SECTION
Clay,,filler,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
Clay,,filler,,,0362,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
Composite,,composite,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
