paper,matches,total_gt,accuracy,run
competing_structural_influences_in_the_li_superionic_conducting_argyrodites_li_sub_6_sub_ps_sub_5_i_x_i_sub_se_i_sub_i_x_i_sub_i_br_0_i_x_i_1_upon_se_substitution,11,11,100.0,Run 1 (Test 1)
lithium_conductivity_and_meyer-neldel_rule_in_li_3_po_4_li_3_vo_4_li_4_geo_4_lithium_superionic_conductors,6,15,40.0,Run 1 (Test 1)
electrical_properties_and_crystal_structure_of_solid_electrolyte_based_on_lithium_hafnium_phosphate_lihf2_po4_3,0,15,0.0,Run 1 (Test 1)
lithium_ion_conductivity_of_polycrystalline_perovskite_la0_67a_xli3xtio3_with_ordered_and_disordered_arrangements_of_the_a-site_ions,3,11,27.27272727272727,Run 1 (Test 1)
inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,2,11,18.181818181818183,Run 1 (Test 1)
ionic_conductivity_of_solid_electrolytes_based_on_lithium_titanium_phosphate,26,30,86.66666666666667,Run 1 (Test 1)
effect_of_si_substitution_on_the_structural_and_transport_properties_of_superionic_li-argyrodites,13,13,100.0,Run 1 (Test 1)
a_systematic_study_of_nasicon-type_li1_xmxti2_x_po4_3_m_cr_al_fe_by_neutron_diffraction_and_impedance_spectroscopy,13,13,100.0,Run 1 (Test 1)
competing_structural_influences_in_the_li_superionic_conducting_argyrodites_li_sub_6_sub_ps_sub_5_i_x_i_sub_se_i_sub_i_x_i_sub_i_br_0_i_x_i_1_upon_se_substitution,11,11,100.0,Run 2 (Test 2)
lithium_conductivity_and_meyer-neldel_rule_in_li_3_po_4_li_3_vo_4_li_4_geo_4_lithium_superionic_conductors,13,15,86.66666666666667,Run 2 (Test 2)
electrical_properties_and_crystal_structure_of_solid_electrolyte_based_on_lithium_hafnium_phosphate_lihf2_po4_3,14,15,93.33333333333333,Run 2 (Test 2)
lithium_ion_conductivity_of_polycrystalline_perovskite_la0_67a_xli3xtio3_with_ordered_and_disordered_arrangements_of_the_a-site_ions,11,11,100.0,Run 2 (Test 2)
inducing_high_ionic_conductivity_in_the_lithium_superionic_argyrodites_li_6_i_x_i_p_1_i_x_i_ge_i_x_i_s_5_i_for_all-solid-state_batteries,8,11,72.72727272727273,Run 2 (Test 2)
ionic_conductivity_of_solid_electrolytes_based_on_lithium_titanium_phosphate,27,30,90.0,Run 2 (Test 2)
effect_of_si_substitution_on_the_structural_and_transport_properties_of_superionic_li-argyrodites,12,13,92.3076923076923,Run 2 (Test 2)
a_systematic_study_of_nasicon-type_li1_xmxti2_x_po4_3_m_cr_al_fe_by_neutron_diffraction_and_impedance_spectroscopy,10,13,76.92307692307693,Run 2 (Test 2)
